model,mnist_c_variant,accuracy,experiment
VGG19_2022-04-04_160910__it8750_e1.pt,jpeg_compression,0.9751,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,speckle_noise,0.9597,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,identity,0.9771,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,glass_blur,0.9412,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,spatter,0.9442,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,translate,0.5272,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,fog,0.9238,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,shear,0.9485,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,scale,0.8975,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,zigzag,0.8499,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,defocus_blur,0.9526,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,gaussian_noise,0.9392,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,contrast,0.9591,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,canny_edges,0.6213,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,zoom_blur,0.9691,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,line,0.8333,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,pessimal_noise,0.8755,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,rotate,0.875,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,brightness,0.9555,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,shot_noise,0.9595,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,saturate,0.9533,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,motion_blur,0.9167,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,snow,0.9518,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,inverse,0.2285,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,impulse_noise,0.9175,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,stripe,0.8498,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,quantize,0.973,vgg19
VGG19_2022-04-04_160910__it8750_e1.pt,frost,0.9408,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,pixelate,0.9864,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,dotted_line,0.9569,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_blur,0.9551,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,elastic_transform,0.8948,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,jpeg_compression,0.992,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,speckle_noise,0.9867,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,identity,0.9928,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,glass_blur,0.9676,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,spatter,0.9775,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,translate,0.5987,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,fog,0.989,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,shear,0.98,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,scale,0.9617,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,zigzag,0.9127,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,defocus_blur,0.9631,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,gaussian_noise,0.9588,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,contrast,0.6335,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,canny_edges,0.7199,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,zoom_blur,0.9848,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,line,0.8552,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,pessimal_noise,0.9028,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,rotate,0.9305,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,brightness,0.9889,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,shot_noise,0.9857,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,saturate,0.988,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,motion_blur,0.9533,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,snow,0.9816,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,inverse,0.2394,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,impulse_noise,0.953,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,stripe,0.8973,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,quantize,0.9919,vgg19
VGG19_2022-04-04_164603__it18750_e3.pt,frost,0.983,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,pixelate,0.9751,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,dotted_line,0.9698,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,gaussian_blur,0.8965,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,elastic_transform,0.8625,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,jpeg_compression,0.9863,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,speckle_noise,0.9859,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,identity,0.9883,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,glass_blur,0.9537,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,spatter,0.9806,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,translate,0.531,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,fog,0.9123,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,shear,0.9723,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,scale,0.9501,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,zigzag,0.9043,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,defocus_blur,0.9396,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,gaussian_noise,0.9729,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,contrast,0.1179,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,canny_edges,0.7873,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,zoom_blur,0.9796,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,line,0.8599,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,pessimal_noise,0.9327,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,rotate,0.9202,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,brightness,0.9799,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,shot_noise,0.983,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,saturate,0.9807,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,motion_blur,0.9569,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,snow,0.9045,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,inverse,0.3676,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,impulse_noise,0.9764,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,stripe,0.8867,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,quantize,0.9869,vgg19
VGG19_2022-04-04_172253__it11250_e2.pt,frost,0.8022,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,pixelate,0.9707,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,dotted_line,0.9513,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,gaussian_blur,0.9217,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,elastic_transform,0.8736,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,jpeg_compression,0.9887,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,speckle_noise,0.9825,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,identity,0.9897,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,glass_blur,0.9511,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,spatter,0.9645,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,translate,0.5597,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,fog,0.9843,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,shear,0.9751,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,scale,0.9451,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,zigzag,0.8908,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,defocus_blur,0.9337,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,gaussian_noise,0.9588,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,contrast,0.3598,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,canny_edges,0.8142,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,zoom_blur,0.9757,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,line,0.8567,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,pessimal_noise,0.9228,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,rotate,0.9258,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,brightness,0.9853,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,shot_noise,0.9808,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,saturate,0.985,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,motion_blur,0.9326,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,snow,0.9822,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,inverse,0.2964,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,impulse_noise,0.9405,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,stripe,0.8877,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,quantize,0.9882,vgg19
VGG19_2022-04-04_175945__it12500_e2.pt,frost,0.9816,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,pixelate,0.9676,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,dotted_line,0.968,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,gaussian_blur,0.9306,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,elastic_transform,0.8963,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,jpeg_compression,0.9901,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,speckle_noise,0.9808,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,identity,0.9919,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,glass_blur,0.9509,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,spatter,0.9667,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,translate,0.6045,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,fog,0.9871,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,shear,0.978,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,scale,0.9569,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,zigzag,0.9063,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,defocus_blur,0.9515,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,gaussian_noise,0.9726,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,contrast,0.9911,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,canny_edges,0.7022,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,zoom_blur,0.9795,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,line,0.8683,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,pessimal_noise,0.944,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,rotate,0.9161,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,brightness,0.9902,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,shot_noise,0.978,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,saturate,0.9828,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,motion_blur,0.9569,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,snow,0.9821,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,inverse,0.2527,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,impulse_noise,0.9602,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,stripe,0.922,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,quantize,0.9899,vgg19
VGG19_2022-04-04_183636__it16250_e3.pt,frost,0.9856,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,pixelate,0.9688,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,dotted_line,0.9368,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_blur,0.9352,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,elastic_transform,0.8683,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,jpeg_compression,0.9866,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,speckle_noise,0.9825,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,identity,0.9893,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,glass_blur,0.9494,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,spatter,0.9757,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,translate,0.5454,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,fog,0.8651,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,shear,0.9706,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,scale,0.9427,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,zigzag,0.8402,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,defocus_blur,0.929,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,gaussian_noise,0.9495,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,contrast,0.1344,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,canny_edges,0.7216,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,zoom_blur,0.9752,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,line,0.8044,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,pessimal_noise,0.8685,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,rotate,0.9081,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,brightness,0.9681,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,shot_noise,0.9808,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,saturate,0.9805,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,motion_blur,0.9495,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,snow,0.8996,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,inverse,0.2963,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,impulse_noise,0.959,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,stripe,0.8868,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,quantize,0.9882,vgg19
VGG19_2022-04-04_191333__it10000_e2.pt,frost,0.6608,vgg19
