"iteration","VGG16_LCL_2022-04-07_112710 - _step","VGG16_LCL_2022-04-07_112710 - _step__MIN","VGG16_LCL_2022-04-07_112710 - _step__MAX","VGG16_LCL_2022-04-07_112710 - test_acc","VGG16_LCL_2022-04-07_112710 - test_acc__MIN","VGG16_LCL_2022-04-07_112710 - test_acc__MAX","VGG16_LCL_2022-04-07_112710 - test_loss","VGG16_LCL_2022-04-07_112710 - test_loss__MIN","VGG16_LCL_2022-04-07_112710 - test_loss__MAX","VGG16_LCL_2022-04-07_112710 - val_acc","VGG16_LCL_2022-04-07_112710 - val_acc__MIN","VGG16_LCL_2022-04-07_112710 - val_acc__MAX","VGG16_LCL_2022-04-07_112710 - val_loss","VGG16_LCL_2022-04-07_112710 - val_loss__MIN","VGG16_LCL_2022-04-07_112710 - val_loss__MAX","VGG16_LCL_2022-04-08_013150 - _step","VGG16_LCL_2022-04-08_013150 - _step__MIN","VGG16_LCL_2022-04-08_013150 - _step__MAX","VGG16_LCL_2022-04-08_013150 - test_acc","VGG16_LCL_2022-04-08_013150 - test_acc__MIN","VGG16_LCL_2022-04-08_013150 - test_acc__MAX","VGG16_LCL_2022-04-08_013150 - test_loss","VGG16_LCL_2022-04-08_013150 - test_loss__MIN","VGG16_LCL_2022-04-08_013150 - test_loss__MAX","VGG16_LCL_2022-04-08_013150 - val_acc","VGG16_LCL_2022-04-08_013150 - val_acc__MIN","VGG16_LCL_2022-04-08_013150 - val_acc__MAX","VGG16_LCL_2022-04-08_013150 - val_loss","VGG16_LCL_2022-04-08_013150 - val_loss__MIN","VGG16_LCL_2022-04-08_013150 - val_loss__MAX","VGG16_LCL_2022-04-07_202410 - _step","VGG16_LCL_2022-04-07_202410 - _step__MIN","VGG16_LCL_2022-04-07_202410 - _step__MAX","VGG16_LCL_2022-04-07_202410 - test_acc","VGG16_LCL_2022-04-07_202410 - test_acc__MIN","VGG16_LCL_2022-04-07_202410 - test_acc__MAX","VGG16_LCL_2022-04-07_202410 - test_loss","VGG16_LCL_2022-04-07_202410 - test_loss__MIN","VGG16_LCL_2022-04-07_202410 - test_loss__MAX","VGG16_LCL_2022-04-07_202410 - val_acc","VGG16_LCL_2022-04-07_202410 - val_acc__MIN","VGG16_LCL_2022-04-07_202410 - val_acc__MAX","VGG16_LCL_2022-04-07_202410 - val_loss","VGG16_LCL_2022-04-07_202410 - val_loss__MIN","VGG16_LCL_2022-04-07_202410 - val_loss__MAX","VGG16_LCL_2022-04-07_202405 - _step","VGG16_LCL_2022-04-07_202405 - _step__MIN","VGG16_LCL_2022-04-07_202405 - _step__MAX","VGG16_LCL_2022-04-07_202405 - test_acc","VGG16_LCL_2022-04-07_202405 - test_acc__MIN","VGG16_LCL_2022-04-07_202405 - test_acc__MAX","VGG16_LCL_2022-04-07_202405 - test_loss","VGG16_LCL_2022-04-07_202405 - test_loss__MIN","VGG16_LCL_2022-04-07_202405 - test_loss__MAX","VGG16_LCL_2022-04-07_202405 - val_acc","VGG16_LCL_2022-04-07_202405 - val_acc__MIN","VGG16_LCL_2022-04-07_202405 - val_acc__MAX","VGG16_LCL_2022-04-07_202405 - val_loss","VGG16_LCL_2022-04-07_202405 - val_loss__MIN","VGG16_LCL_2022-04-07_202405 - val_loss__MAX","VGG16_LCL_2022-04-08_020051 - _step","VGG16_LCL_2022-04-08_020051 - _step__MIN","VGG16_LCL_2022-04-08_020051 - _step__MAX","VGG16_LCL_2022-04-08_020051 - test_acc","VGG16_LCL_2022-04-08_020051 - test_acc__MIN","VGG16_LCL_2022-04-08_020051 - test_acc__MAX","VGG16_LCL_2022-04-08_020051 - test_loss","VGG16_LCL_2022-04-08_020051 - test_loss__MIN","VGG16_LCL_2022-04-08_020051 - test_loss__MAX","VGG16_LCL_2022-04-08_020051 - val_acc","VGG16_LCL_2022-04-08_020051 - val_acc__MIN","VGG16_LCL_2022-04-08_020051 - val_acc__MAX","VGG16_LCL_2022-04-08_020051 - val_loss","VGG16_LCL_2022-04-08_020051 - val_loss__MIN","VGG16_LCL_2022-04-08_020051 - val_loss__MAX","VGG16_LCL_2022-04-07_112652 - _step","VGG16_LCL_2022-04-07_112652 - _step__MIN","VGG16_LCL_2022-04-07_112652 - _step__MAX","VGG16_LCL_2022-04-07_112652 - test_acc","VGG16_LCL_2022-04-07_112652 - test_acc__MIN","VGG16_LCL_2022-04-07_112652 - test_acc__MAX","VGG16_LCL_2022-04-07_112652 - test_loss","VGG16_LCL_2022-04-07_112652 - test_loss__MIN","VGG16_LCL_2022-04-07_112652 - test_loss__MAX","VGG16_LCL_2022-04-07_112652 - val_acc","VGG16_LCL_2022-04-07_112652 - val_acc__MIN","VGG16_LCL_2022-04-07_112652 - val_acc__MAX","VGG16_LCL_2022-04-07_112652 - val_loss","VGG16_LCL_2022-04-07_112652 - val_loss__MIN","VGG16_LCL_2022-04-07_112652 - val_loss__MAX"
"1250","5","5","5","0.8568","0.8568","0.8568","0.04374314492850685","0.04374314492850685","0.04374314492850685","0.9575","0.9575","0.9575","0.013906997727698763","0.013906997727698763","0.013906997727698763","5","5","5","0.8866","0.8866","0.8866","0.03959172151439702","0.03959172151439702","0.03959172151439702","0.9495","0.9495","0.9495","0.017269378549118853","0.017269378549118853","0.017269378549118853","5","5","5","0.8185","0.8185","0.8185","0.07478321174057496","0.07478321174057496","0.07478321174057496","0.9583","0.9583","0.9583","0.015221969649400108","0.015221969649400108","0.015221969649400108","5","5","5","0.8821","0.8821","0.8821","0.037612196151450526","0.037612196151450526","0.037612196151450526","0.9541","0.9541","0.9541","0.01509996398286602","0.01509996398286602","0.01509996398286602","5","5","5","0.8533","0.8533","0.8533","0.05060608330529061","0.05060608330529061","0.05060608330529061","0.9507","0.9507","0.9507","0.016587214262563807","0.016587214262563807","0.016587214262563807","5","5","5","0.8377","0.8377","0.8377","0.05691733732253781","0.05691733732253781","0.05691733732253781","0.9597","0.9597","0.9597","0.013105447782863506","0.013105447782863506","0.013105447782863506"
"2500","10","10","10","0.883","0.883","0.883","0.038268383560443195","0.038268383560443195","0.038268383560443195","0.9753","0.9753","0.9753","0.008316767036032253","0.008316767036032253","0.008316767036032253","10","10","10","0.8384","0.8384","0.8384","0.05379667885191165","0.05379667885191165","0.05379667885191165","0.9661","0.9661","0.9661","0.01054349678666987","0.01054349678666987","0.01054349678666987","10","10","10","0.8866","0.8866","0.8866","0.03410921743421934","0.03410921743421934","0.03410921743421934","0.9726","0.9726","0.9726","0.008654287904931696","0.008654287904931696","0.008654287904931696","10","10","10","0.8495","0.8495","0.8495","0.04482421784955078","0.04482421784955078","0.04482421784955078","0.9743","0.9743","0.9743","0.00914272746560165","0.00914272746560165","0.00914272746560165","10","10","10","0.8633","0.8633","0.8633","0.04842990332488841","0.04842990332488841","0.04842990332488841","0.9737","0.9737","0.9737","0.008857651728293803","0.008857651728293803","0.008857651728293803","10","10","10","0.8432","0.8432","0.8432","0.048167657237290475","0.048167657237290475","0.048167657237290475","0.9706","0.9706","0.9706","0.00927643887161977","0.00927643887161977","0.00927643887161977"
"3750","15","15","15","0.9031","0.9031","0.9031","0.030541879793073493","0.030541879793073493","0.030541879793073493","0.9807","0.9807","0.9807","0.006399841502120489","0.006399841502120489","0.006399841502120489","15","15","15","0.9138","0.9138","0.9138","0.02633523041938315","0.02633523041938315","0.02633523041938315","0.9805","0.9805","0.9805","0.006615485560662633","0.006615485560662633","0.006615485560662633","15","15","15","0.8477","0.8477","0.8477","0.0471435067872866","0.0471435067872866","0.0471435067872866","0.9774","0.9774","0.9774","0.007256988453662055","0.007256988453662055","0.007256988453662055","15","15","15","0.8903","0.8903","0.8903","0.03367994248171453","0.03367994248171453","0.03367994248171453","0.9794","0.9794","0.9794","0.006607364249607781","0.006607364249607781","0.006607364249607781","15","15","15","0.8475","0.8475","0.8475","0.051404683858755656","0.051404683858755656","0.051404683858755656","0.98","0.98","0.98","0.006411822054832734","0.006411822054832734","0.006411822054832734","15","15","15","0.8076","0.8076","0.8076","0.08561849479348624","0.08561849479348624","0.08561849479348624","0.974","0.974","0.974","0.009372230277413154","0.009372230277413154","0.009372230277413154"
"5000","21","21","21","0.9199","0.9199","0.9199","0.025496998601044513","0.025496998601044513","0.025496998601044513","0.9847","0.9847","0.9847","0.005457731159692769","0.005457731159692769","0.005457731159692769","21","21","21","0.879","0.879","0.879","0.03815939434602629","0.03815939434602629","0.03815939434602629","0.9796","0.9796","0.9796","0.006595275066645263","0.006595275066645263","0.006595275066645263","21","21","21","0.8081","0.8081","0.8081","0.07264576974502714","0.07264576974502714","0.07264576974502714","0.9844","0.9844","0.9844","0.005274018355189403","0.005274018355189403","0.005274018355189403","21","21","21","0.8722","0.8722","0.8722","0.042998008682752","0.042998008682752","0.042998008682752","0.9826","0.9826","0.9826","0.005728617563739224","0.005728617563739224","0.005728617563739224","21","21","21","0.9008","0.9008","0.9008","0.029984918741503483","0.029984918741503483","0.029984918741503483","0.9818","0.9818","0.9818","0.005680526345550613","0.005680526345550613","0.005680526345550613","21","21","21","0.8445","0.8445","0.8445","0.05713053991136261","0.05713053991136261","0.05713053991136261","0.9709","0.9709","0.9709","0.009208638509563296","0.009208638509563296","0.009208638509563296"
"6250","26","26","26","0.8753","0.8753","0.8753","0.04653513874401417","0.04653513874401417","0.04653513874401417","0.9812","0.9812","0.9812","0.006540413439568275","0.006540413439568275","0.006540413439568275","26","26","26","0.8829","0.8829","0.8829","0.034517613861558494","0.034517613861558494","0.034517613861558494","0.9788","0.9788","0.9788","0.006701560414728011","0.006701560414728011","0.006701560414728011","26","26","26","0.8309","0.8309","0.8309","0.06070582623161613","0.06070582623161613","0.06070582623161613","0.9872","0.9872","0.9872","0.0046783912181308585","0.0046783912181308585","0.0046783912181308585","26","26","26","0.874","0.874","0.874","0.03972030170917862","0.03972030170917862","0.03972030170917862","0.9772","0.9772","0.9772","0.0072509406711438705","0.0072509406711438705","0.0072509406711438705","26","26","26","0.8466","0.8466","0.8466","0.0476569506758592","0.0476569506758592","0.0476569506758592","0.9806","0.9806","0.9806","0.006425152309449187","0.006425152309449187","0.006425152309449187","26","26","26","0.8422","0.8422","0.8422","0.06731532600385252","0.06731532600385252","0.06731532600385252","0.9825","0.9825","0.9825","0.0059804622658535585","0.0059804622658535585","0.0059804622658535585"
"7500","31","31","31","0.9059","0.9059","0.9059","0.02851495264447802","0.02851495264447802","0.02851495264447802","0.9819","0.9819","0.9819","0.006351773191422948","0.006351773191422948","0.006351773191422948","31","31","31","0.9019","0.9019","0.9019","0.03287695321754147","0.03287695321754147","0.03287695321754147","0.9832","0.9832","0.9832","0.005905276644142031","0.005905276644142031","0.005905276644142031","31","31","31","0.8434","0.8434","0.8434","0.06976653441181105","0.06976653441181105","0.06976653441181105","0.9843","0.9843","0.9843","0.005635250886701968","0.005635250886701968","0.005635250886701968","31","31","31","0.886","0.886","0.886","0.04364953278072836","0.04364953278072836","0.04364953278072836","0.9848","0.9848","0.9848","0.005375995462709561","0.005375995462709561","0.005375995462709561","31","31","31","0.9124","0.9124","0.9124","0.030367967262237124","0.030367967262237124","0.030367967262237124","0.982","0.982","0.982","0.0062050223904537745","0.0062050223904537745","0.0062050223904537745","31","31","31","0.8346","0.8346","0.8346","0.067923116911271","0.067923116911271","0.067923116911271","0.9884","0.9884","0.9884","0.004420265844714002","0.004420265844714002","0.004420265844714002"
"8750","36","36","36","0.8869","0.8869","0.8869","0.04169615163338174","0.04169615163338174","0.04169615163338174","0.9866","0.9866","0.9866","0.004903768548580049","0.004903768548580049","0.004903768548580049","36","36","36","0.8547","0.8547","0.8547","0.04533978701583111","0.04533978701583111","0.04533978701583111","0.9842","0.9842","0.9842","0.005128252267761489","0.005128252267761489","0.005128252267761489","36","36","36","0.8367","0.8367","0.8367","0.06685497636662188","0.06685497636662188","0.06685497636662188","0.9884","0.9884","0.9884","0.004416029795923557","0.004416029795923557","0.004416029795923557","36","36","36","0.8917","0.8917","0.8917","0.040181593065138646","0.040181593065138646","0.040181593065138646","0.9865","0.9865","0.9865","0.004659830979567398","0.004659830979567398","0.004659830979567398","36","36","36","0.8667","0.8667","0.8667","0.04331646752388913","0.04331646752388913","0.04331646752388913","0.9853","0.9853","0.9853","0.004845567745353766","0.004845567745353766","0.004845567745353766","36","36","36","0.7696","0.7696","0.7696","0.08421623618216245","0.08421623618216245","0.08421623618216245","0.9796","0.9796","0.9796","0.006290632488996194","0.006290632488996194","0.006290632488996194"
"10000","42","42","42","0.9011","0.9011","0.9011","0.03333427898492956","0.03333427898492956","0.03333427898492956","0.9872","0.9872","0.9872","0.003927721968519924","0.003927721968519924","0.003927721968519924","42","42","42","0.8926","0.8926","0.8926","0.03873241507381097","0.03873241507381097","0.03873241507381097","0.9854","0.9854","0.9854","0.005057460527141158","0.005057460527141158","0.005057460527141158","42","42","42","0.8636","0.8636","0.8636","0.045741283086329285","0.045741283086329285","0.045741283086329285","0.9869","0.9869","0.9869","0.0044178519908499745","0.0044178519908499745","0.0044178519908499745","42","42","42","0.872","0.872","0.872","0.04663763868340977","0.04663763868340977","0.04663763868340977","0.9889","0.9889","0.9889","0.0038717363929181335","0.0038717363929181335","0.0038717363929181335","42","42","42","0.8693","0.8693","0.8693","0.04490268316227298","0.04490268316227298","0.04490268316227298","0.9845","0.9845","0.9845","0.0049065245239292374","0.0049065245239292374","0.0049065245239292374","42","42","42","0.8674","0.8674","0.8674","0.0487215320335651","0.0487215320335651","0.0487215320335651","0.9866","0.9866","0.9866","0.004509210682535425","0.004509210682535425","0.004509210682535425"
"11250","47","47","47","0.8557","0.8557","0.8557","0.04466373662425316","0.04466373662425316","0.04466373662425316","0.9851","0.9851","0.9851","0.0051738667619098105","0.0051738667619098105","0.0051738667619098105","47","47","47","0.8714","0.8714","0.8714","0.04026203203130281","0.04026203203130281","0.04026203203130281","0.9861","0.9861","0.9861","0.004758575691323857","0.004758575691323857","0.004758575691323857","47","47","47","0.87","0.87","0.87","0.050935563389290485","0.050935563389290485","0.050935563389290485","0.9878","0.9878","0.9878","0.004607157262907088","0.004607157262907088","0.004607157262907088","47","47","47","0.8737","0.8737","0.8737","0.0479767339805867","0.0479767339805867","0.0479767339805867","0.9867","0.9867","0.9867","0.004795582036876534","0.004795582036876534","0.004795582036876534","47","47","47","0.8828","0.8828","0.8828","0.04530686761242215","0.04530686761242215","0.04530686761242215","0.9843","0.9843","0.9843","0.005980789584971022","0.005980789584971022","0.005980789584971022","47","47","47","0.8359","0.8359","0.8359","0.07091390285512893","0.07091390285512893","0.07091390285512893","0.986","0.986","0.986","0.00436246465327572","0.00436246465327572","0.00436246465327572"
"12500","52","52","52","0.8974","0.8974","0.8974","0.037717987825274045","0.037717987825274045","0.037717987825274045","0.9891","0.9891","0.9891","0.004251714186104348","0.004251714186104348","0.004251714186104348","52","52","52","0.8906","0.8906","0.8906","0.0402633693449494","0.0402633693449494","0.0402633693449494","0.9878","0.9878","0.9878","0.004413431456162875","0.004413431456162875","0.004413431456162875","52","52","52","0.846","0.846","0.846","0.0601684886498035","0.0601684886498035","0.0601684886498035","0.9883","0.9883","0.9883","0.003980416364798537","0.003980416364798537","0.003980416364798537","52","52","52","0.8898","0.8898","0.8898","0.03562671721909502","0.03562671721909502","0.03562671721909502","0.9898","0.9898","0.9898","0.003335870180423213","0.003335870180423213","0.003335870180423213","52","52","52","0.9024","0.9024","0.9024","0.03957494019698077","0.03957494019698077","0.03957494019698077","0.9874","0.9874","0.9874","0.004946071520592263","0.004946071520592263","0.004946071520592263","52","52","52","0.8209","0.8209","0.8209","0.07547051032253349","0.07547051032253349","0.07547051032253349","0.9875","0.9875","0.9875","0.004258519053785682","0.004258519053785682","0.004258519053785682"
"13750","57","57","57","0.878","0.878","0.878","0.042593478769228435","0.042593478769228435","0.042593478769228435","0.9869","0.9869","0.9869","0.00428160463555178","0.00428160463555178","0.00428160463555178","57","57","57","0.8797","0.8797","0.8797","0.04027409107354913","0.04027409107354913","0.04027409107354913","0.9858","0.9858","0.9858","0.0050074163925919535","0.0050074163925919535","0.0050074163925919535","57","57","57","0.8439","0.8439","0.8439","0.06933330744285268","0.06933330744285268","0.06933330744285268","0.9897","0.9897","0.9897","0.00415204900682924","0.00415204900682924","0.00415204900682924","57","57","57","0.9024","0.9024","0.9024","0.03522061842123647","0.03522061842123647","0.03522061842123647","0.9903","0.9903","0.9903","0.0036004568856991214","0.0036004568856991214","0.0036004568856991214","57","57","57","0.8673","0.8673","0.8673","0.047050143893162075","0.047050143893162075","0.047050143893162075","0.9879","0.9879","0.9879","0.003955248965674639","0.003955248965674639","0.003955248965674639","57","57","57","0.8394","0.8394","0.8394","0.06880391893529961","0.06880391893529961","0.06880391893529961","0.9875","0.9875","0.9875","0.004612781194713126","0.004612781194713126","0.004612781194713126"
"15000","63","63","63","0.8827","0.8827","0.8827","0.0379831541038242","0.0379831541038242","0.0379831541038242","0.9883","0.9883","0.9883","0.0038588245766946346","0.0038588245766946346","0.0038588245766946346","63","63","63","0.8846","0.8846","0.8846","0.03878073946715873","0.03878073946715873","0.03878073946715873","0.9876","0.9876","0.9876","0.004339469764142516","0.004339469764142516","0.004339469764142516","63","63","63","0.8433","0.8433","0.8433","0.06204154984252532","0.06204154984252532","0.06204154984252532","0.9887","0.9887","0.9887","0.0036669471136674186","0.0036669471136674186","0.0036669471136674186","63","63","63","0.8717","0.8717","0.8717","0.04851268238243279","0.04851268238243279","0.04851268238243279","0.9864","0.9864","0.9864","0.004364104964332492","0.004364104964332492","0.004364104964332492","63","63","63","0.8722","0.8722","0.8722","0.043901728070869325","0.043901728070869325","0.043901728070869325","0.9896","0.9896","0.9896","0.003714420464201246","0.003714420464201246","0.003714420464201246","63","63","63","0.8163","0.8163","0.8163","0.08739602909337857","0.08739602909337857","0.08739602909337857","0.9867","0.9867","0.9867","0.004867542037895899","0.004867542037895899","0.004867542037895899"
"16250","68","68","68","0.898","0.898","0.898","0.03739581411558723","0.03739581411558723","0.03739581411558723","0.9884","0.9884","0.9884","0.004370936876978012","0.004370936876978012","0.004370936876978012","68","68","68","0.8951","0.8951","0.8951","0.03835057382416444","0.03835057382416444","0.03835057382416444","0.9903","0.9903","0.9903","0.0035542642603621846","0.0035542642603621846","0.0035542642603621846","68","68","68","0.8107","0.8107","0.8107","0.08940601499256678","0.08940601499256678","0.08940601499256678","0.9821","0.9821","0.9821","0.006470254777973678","0.006470254777973678","0.006470254777973678","68","68","68","0.8825","0.8825","0.8825","0.058743784954007235","0.058743784954007235","0.058743784954007235","0.9891","0.9891","0.9891","0.004234373317497262","0.004234373317497262","0.004234373317497262","68","68","68","0.8816","0.8816","0.8816","0.04291341214962117","0.04291341214962117","0.04291341214962117","0.9913","0.9913","0.9913","0.0031883481651261646","0.0031883481651261646","0.0031883481651261646","68","68","68","0.8617","0.8617","0.8617","0.06020916541314623","0.06020916541314623","0.06020916541314623","0.9888","0.9888","0.9888","0.004030478709554801","0.004030478709554801","0.004030478709554801"
"17500","73","73","73","0.8795","0.8795","0.8795","0.04064365321073638","0.04064365321073638","0.04064365321073638","0.9898","0.9898","0.9898","0.003379878224432879","0.003379878224432879","0.003379878224432879","73","73","73","0.873","0.873","0.873","0.054433043955809605","0.054433043955809605","0.054433043955809605","0.988","0.988","0.988","0.0049298500595723995","0.0049298500595723995","0.0049298500595723995","73","73","73","0.8434","0.8434","0.8434","0.071255216975649","0.071255216975649","0.071255216975649","0.9881","0.9881","0.9881","0.004504851867597521","0.004504851867597521","0.004504851867597521","73","73","73","0.8803","0.8803","0.8803","0.04335417736820713","0.04335417736820713","0.04335417736820713","0.9902","0.9902","0.9902","0.0033588946110807193","0.0033588946110807193","0.0033588946110807193","73","73","73","0.8902","0.8902","0.8902","0.05262904869762634","0.05262904869762634","0.05262904869762634","0.9902","0.9902","0.9902","0.0037445767278186147","0.0037445767278186147","0.0037445767278186147","73","73","73","0.8058","0.8058","0.8058","0.10212761747280168","0.10212761747280168","0.10212761747280168","0.9887","0.9887","0.9887","0.004218817747254666","0.004218817747254666","0.004218817747254666"
"18750","78","78","78","0.885","0.885","0.885","0.04186362762616482","0.04186362762616482","0.04186362762616482","0.9902","0.9902","0.9902","0.003593908581299886","0.003593908581299886","0.003593908581299886","78","78","78","0.9026","0.9026","0.9026","0.039874282790128474","0.039874282790128474","0.039874282790128474","0.9907","0.9907","0.9907","0.002969339158218005","0.002969339158218005","0.002969339158218005","78","78","78","0.8656","0.8656","0.8656","0.05884152350374141","0.05884152350374141","0.05884152350374141","0.9876","0.9876","0.9876","0.004527859687295932","0.004527859687295932","0.004527859687295932","78","78","78","0.8706","0.8706","0.8706","0.0520297736869618","0.0520297736869618","0.0520297736869618","0.9895","0.9895","0.9895","0.0035193000835548357","0.0035193000835548357","0.0035193000835548357","78","78","78","0.8631","0.8631","0.8631","0.059934785513293225","0.059934785513293225","0.059934785513293225","0.9892","0.9892","0.9892","0.0037644109787346456","0.0037644109787346456","0.0037644109787346456","78","78","78","0.8015","0.8015","0.8015","0.10838613718155884","0.10838613718155884","0.10838613718155884","0.9858","0.9858","0.9858","0.005937662272309163","0.005937662272309163","0.005937662272309163"